id,folder,slug,url,pillar,pillar_num,content_type,card_tag,filter_category,ui_module,target_keyword,title,source_path,sort_priority
081,081-ai-tools-for-data-analysts,ai-tools-for-data-analysts,/blog/ai-tools-for-data-analysts,pillar7-use-cases-role-industry,7,listicle,Tools & Reviews,tools_reviews,tool-listicle,ai tools for data analysts,AI Tools for Data Analysts: Stack Guide and Evaluation Framework (2026),SEO/Blog/pillar7-use-cases-role-industry/081-ai-tools-for-data-analysts,19
082,082-ai-data-analysis-product-managers,ai-data-analysis-product-managers,/blog/ai-data-analysis-product-managers,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,ai data analysis for product managers,AI Data Analysis for Product Managers: Metrics Without SQL Overhead (2026),SEO/Blog/pillar7-use-cases-role-industry/082-ai-data-analysis-product-managers,18
083,083-ai-data-analysis-finance-teams,ai-data-analysis-finance-teams,/blog/ai-data-analysis-finance-teams,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,ai data analysis for finance teams,"AI Data Analysis for Finance Teams: Close, FP&A, and Variance (2026)",SEO/Blog/pillar7-use-cases-role-industry/083-ai-data-analysis-finance-teams,17
084,084-ai-data-analysis-marketing,ai-data-analysis-marketing,/blog/ai-data-analysis-marketing,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,ai data analysis for marketing,AI Data Analysis for Marketing: Campaign and Funnel Analytics (2026),SEO/Blog/pillar7-use-cases-role-industry/084-ai-data-analysis-marketing,16
085,085-ai-data-analysis-operations,ai-data-analysis-operations,/blog/ai-data-analysis-operations,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,ai in data center operations,"AI in Data Center Operations: KPIs, Alerts, and Execution (2026",SEO/Blog/pillar7-use-cases-role-industry/085-ai-data-analysis-operations,15
086,086-ai-for-data-engineers,ai-for-data-engineers,/blog/ai-for-data-engineers,pillar7-use-cases-role-industry,7,guide,Guides,knowledge,long-form-guide,ai for data engineers,"AI for Data Engineers: Pipelines, Quality, and Agentic Analytics (2026)",SEO/Blog/pillar7-use-cases-role-industry/086-ai-for-data-engineers,14
087,087-ai-data-strategy-cto,ai-data-strategy-cto,/blog/ai-data-strategy-cto,pillar7-use-cases-role-industry,7,guide,Guides,knowledge,long-form-guide,ai-powered semantic layers for enterprise data strategy,AI-Powered Semantic Layers for Enterprise Data Strategy (2026),SEO/Blog/pillar7-use-cases-role-industry/087-ai-data-strategy-cto,13
088,088-ai-data-analysis-founders,ai-data-analysis-founders,/blog/ai-data-analysis-founders,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,best ai tools for data analysis,Best AI Tools for Data Analysis: Fast Insights Without a Full Data Team,SEO/Blog/pillar7-use-cases-role-industry/088-ai-data-analysis-founders,12
089,089-ai-data-analysis-ecommerce,ai-data-analysis-ecommerce,/blog/ai-data-analysis-ecommerce,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,ai data analysis for ecommerce,"AI Data Analysis for Ecommerce: Revenue, Cohort, and Merchandising (2026)",SEO/Blog/pillar7-use-cases-role-industry/089-ai-data-analysis-ecommerce,11
090,090-ai-data-analysis-saas,ai-data-analysis-saas,/blog/ai-data-analysis-saas,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,ai data analysis for saas,"AI Data Analysis for SaaS: Churn, Expansion, and PLG Metrics (2026)",SEO/Blog/pillar7-use-cases-role-industry/090-ai-data-analysis-saas,10
091,091-ai-data-analysis-financial-services,ai-data-analysis-financial-services,/blog/ai-data-analysis-financial-services,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,financial services data analysis,Financial Services Data Analysis: Compliance-Aware Analytics Guid,SEO/Blog/pillar7-use-cases-role-industry/091-ai-data-analysis-financial-services,9
092,092-ai-data-analysis-supply-chain,ai-data-analysis-supply-chain,/blog/ai-data-analysis-supply-chain,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,data science in supply chain,"Data Science in Supply Chain: Inventory, Lead Time, and Risk KPIs",SEO/Blog/pillar7-use-cases-role-industry/092-ai-data-analysis-supply-chain,8
093,093-ai-data-analysis-healthcare,ai-data-analysis-healthcare,/blog/ai-data-analysis-healthcare,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,ai data analysis healthcare,"AI Data Analysis Healthcare: Use Cases, Governance, and Workflow Fit",SEO/Blog/pillar7-use-cases-role-industry/093-ai-data-analysis-healthcare,7
094,094-ai-data-analysis-logistics,ai-data-analysis-logistics,/blog/ai-data-analysis-logistics,pillar7-use-cases-role-industry,7,use-case,Guides,knowledge,use-case-persona,data analysis in logistics,"AI Data Analysis in Logistics: Route, Cost, and SLA Decision Support",SEO/Blog/pillar7-use-cases-role-industry/094-ai-data-analysis-logistics,6
095,095-ai-data-analysis-prompts,ai-data-analysis-prompts,/blog/ai-data-analysis-prompts,pillar8-skills-templates-glossary,8,resource,Guides,knowledge,prompt-resource,ai data analysis prompts,AI Data Analysis Prompts: 30+ Templates for Analysts (2026),SEO/Blog/pillar8-skills-templates-glossary/095-ai-data-analysis-prompts,5
096,096-data-analysis-prompt-template,data-analysis-prompt-template,/blog/data-analysis-prompt-template,pillar8-skills-templates-glossary,8,resource,Guides,knowledge,prompt-resource,data analysis template,Data Analysis Template (2026): Reusable Frameworks for Teams,SEO/Blog/pillar8-skills-templates-glossary/096-data-analysis-prompt-template,4
097,097-ai-data-analyst-skills,ai-data-analyst-skills,/blog/ai-data-analyst-skills,pillar8-skills-templates-glossary,8,guide,Guides,knowledge,long-form-guide,ai data analyst skills,AI Data Analyst Skills: Competency Map for 2026 Hiring and Upskilling,SEO/Blog/pillar8-skills-templates-glossary/097-ai-data-analyst-skills,3
098,098-how-to-evaluate-ai-data-analyst,how-to-evaluate-ai-data-analyst,/blog/how-to-evaluate-ai-data-analyst,pillar8-skills-templates-glossary,8,guide,Guides,knowledge,long-form-guide,how to evaluate ai data analyst,How to Evaluate AI Data Analyst Tools: Buyer Scorecard (2026),SEO/Blog/pillar8-skills-templates-glossary/098-how-to-evaluate-ai-data-analyst,2
099,099-ai-analytics-glossary,ai-analytics-glossary,/blog/ai-analytics-glossary,pillar8-skills-templates-glossary,8,glossary,Guides,knowledge,glossary-terms,data analysis glossary,Data Analysis Glossary (2026): 40+ Terms Every Data Team Should Know,SEO/Blog/pillar8-skills-templates-glossary/099-ai-analytics-glossary,1
100,100-data-agent-faq,data-agent-faq,/blog/data-agent-faq,pillar8-skills-templates-glossary,8,faq,Guides,knowledge,faq-hub,what is a data agent,"What Is a Data Agent: 12+ Deep Answers on Architecture, Memory, and Buyer Fit",SEO/Blog/pillar8-skills-templates-glossary/100-data-agent-faq,0
