综合排名,参赛排名,作品名称,作品类型,产品赛道,综合评级,综合分,场景价值,技术完成度,创新性,场景价值依据,技术完成度依据,创新性依据,一句话总评,人气票数,长廊排序,可在线体验,最近更新
70,68,ProjectValueLab,参赛作品,产品研究,C,6.45,7.0,6.5,5.5,早期项目验证、立项和投资初筛有需求，用户面（创始人/PM/投资人）清楚。,输入官网/文档/仓库，输出结构化价值报告，标准 Agent 报告流，深度一般。,商业尽调清单式分析，缺少独特评估框架或证据约束。,可用的立项助手，产品形态常规。,7,45,是,2026-07-22
71,69,选题雷达 Topic Radar,参赛作品,内容增长,C,6.45,7.0,6.5,5.5,创作者要找高热低竞争选题，需求真实。,平台+领域调研，热度/竞争/机会三维度与标题建议，主路径成立但较标准。,选题雷达是内容工具常见形态。,能用的创作者工具，差异化不足。,2,80,是,2026-07-30
72,70,外贸实时获客系统,参赛作品,外贸获客,C,6.33,8.0,5.0,5.5,外贸要在 B2B、社媒和进出口记录里找客，需求强、付费意愿高。,只列出数据源，未说明实时性、去重、合规、线索质量和跟进闭环。,多源获客聚合常见，未见独特匹配机制。,场景分高、可见完成度低，承诺与材料不匹配。,3,72,是,2026-07-25
73,71,学习计划助手,参赛作品,教育学习,C,6.30,6.5,7.0,5.0,把教材/教程拆成可执行学习计划有用，但替代方案极多。,领域+PDF/文本入，阶段路线与 Markdown/PDF 出，SSO/BYOK 规范。,学习路径生成是最常见的 AI 教育形态之一。,干净可用的计划生成器，缺乏诊断—练习闭环或独特数据。,7,40,是,2026-07-28
74,72,CET-4 Vocab Lab 四级单词学习舱,参赛作品,教育学习,C,6.30,6.5,7.0,5.0,四级词汇冲刺有稳定用户，但背单词市场极度红海。,词库、自测、薄弱词、语境例句、7 天路径，服务端 Key，主路径完整。,诊断+路径是常规背词产品能力。,可用的备考工具，缺少独特学习数据或机制。,3,64,是,2026-07-31
75,73,竞品对标分析器,参赛作品,产品研究,C,6.28,7.0,6.0,5.5,硬件/快消研发与市场团队确实需要竞品对标，场景成立。,公开介绍过短，只能确认 Next.js + Server API，对标维度、证据与交付物不清晰。,竞品分析是常见 AI 报告形态，未见独特框架。,场景没错，材料不足以支撑高完成度评价。,28,21,是,2026-07-30
76,74,产品经理数据汇报工作台,参赛作品,通用分析,C,6.15,7.0,6.0,5.0,仪表盘、周报、汇报 PPT、行研是 PM 真实工作，场景清楚。,介绍停留在四大模块列举，分析深度、数据接入与交付质量缺少可验证细节。,把常见 PM 交付物拼成工作台，创新有限。,对上了岗位场景，产品完成度与差异化都偏中下。,19,27,是,2026-07-24
77,75,明日足球,参赛作品,体育娱乐,C,6.05,6.0,6.5,5.5,球迷看懂战术有趣，决策/付费强度低于工作与生活刚需。,接比赛数据、阵容事件，再生成战术复盘，主路径成立，模块深度中等。,比赛 AI 复盘常见，战术翻译是增量不是新品类。,完整体验向体育应用，场景价值与创新都中等。,9,38,是,2026-07-26
78,76,智能数据分析工作台,参赛作品,通用分析,C,5.97,6.0,7.0,4.5,运营/创作者上传表格做分析有需求，但用户与问题都不聚焦。,本地预览质检与图表不耗积分，服务端 Agent 出洞察，BYOK 与错误提示规范。,自然语言分析工作台是本届最常见模板。,工程习惯好，产品定义是泛工具，难形成壁垒。,5,52,是,2026-07-28
79,77,JobHunter Pro — 智能求职聚合平台,参赛作品,求职职业,C,5.85,7.0,5.5,4.5,聚合岗位、匹配、改简历覆盖求职全流程，需求大。,功能清单完整，但全网聚合+可视化热度的实现可信度与深度无法从材料证实。,招聘聚合与 AI 改简历是红海模板。,场景对，产品承诺很大，可见完成度与创新都偏弱。,7,43,是,2026-07-23
80,78,AI智能售卖机商品推荐,参赛作品,零售补货,C,5.85,6.5,5.0,6.0,无人零售补货与动销分析有明确运营商用户，但材料几乎未展开决策深度。,仅一句话介绍，公开信息无法判断分析闭环、数据接入与报告质量。,售卖机补货相对垂直少见，有场景独特性，但机制未见。,切口不俗，信息披露不足，产品完成度只能按可见材料保守给分。,36,15,是,2026-07-24
81,79,簿言,参赛作品,通用分析,C,5.80,6.0,6.5,4.5,Excel 检查与记账有需求，但记事本+附件+记账+分析拼在一起，场景发散。,登录上传、结构识别、可视化大屏、记账图表更新，基础功能在；缺一条打透的决策主线。,通用办公套件，创新点不明显。,能用的轻办公组合，产品焦点不够，难以形成记忆点。,42,13,是,2026-07-27
82,80,一眼看懂这只股票,参赛作品,投资理财,C,5.78,6.5,5.5,5.0,帮散户把财报翻译成「靠什么赚钱、价格在期待什么」有需求，但投资建议边界敏感。,一句话介绍，上传研报出解读的路径可见，产品模块与核验能力不明。,财报解读/个股解释是常见 AI 应用。,场景通俗，材料薄，完成度与创新都一般。,15,30,是,2026-07-24
83,81,屏时,参赛作品,娱乐实验,C,5.65,4.5,6.0,7.0,屏幕人格球星卡适合分享，决策价值低。,纯浏览器本地识别，隐私友好，但分析深度与业务闭环有限。,FIFA 式球星卡 + 本地不上传，形态和隐私立场有记忆点。,好玩的社交物件，不是决策型数据产品。,6,50,是,2026-07-24
84,82,智能旅游,参赛作品,旅行规划,D,4.95,5.5,5.0,4.0,生成行程 + 好友/广场，是内容社区拼盘，决策深度有限。,注册输入目的地出方案，社交模块提及，分析与核验能力不明。,AI 行程+社交广场非常常规。,旅游应用模板，产品焦点不清。,3,76,是,2026-07-21
85,83,wisp science,参赛作品,科研学术,D,4.93,6.0,4.0,4.5,科研文献检索有需求，但未定义发现流程与交付物。,一句话介绍且入口落在 GitHub，产品完成度无法确认。,文献检索工作台常见，未见方法。,方向正确，尚停留在概念声明。,3,74,是,2026-07-21
86,84,医路通 — 在线问诊与预约挂号系统,参赛作品,医疗健康,D,4.85,6.0,4.5,3.5,挂号问诊处方是大场景，但单机演示无法承担真实医疗信任与合规。,单文件 HTML + localStorage，无服务端与真实诊疗闭环，完成度是课程作业级。,标准三端医疗演示，缺少数据分析或新就诊机制。,场景大、产品轻，与「泛数据分析应用」主线也较远。,10,35,是,2026-07-28
87,85,AI旅游助手,参赛作品,旅行规划,D,4.65,5.5,4.5,3.5,做攻略避坑有需求，与多件旅游作品重复，且文案大于产品定义。,介绍是营销句，缺少功能、数据与集成说明。,AI 旅游助手是最红海模板之一。,可见信息无法支撑「产品」评价。,3,79,是,2026-07-21
88,86,travel-budget-planner,参赛作品,旅行规划,D,4.47,5.5,4.0,3.5,出行预算有需求，但「规划你的出行一切」没有明确决策点。,几乎无产品介绍，无法判断预算模型与分析深度。,旅行预算规划是模板级应用。,红海场景 + 信息披露不足。,3,73,是,2026-07-21
89,87,人生模拟器,参赛作品,娱乐实验,D,4.40,3.5,5.0,5.0,自评解决「闲着没事干什么」，几乎没有决策或效率价值。,后台批量生成个性化事件，产品结构简单。,人生模拟游戏常见，未见新规则。,娱乐 demo，产品层面贡献有限。,6,48,是,2026-07-27
90,88,SEO数据分析,参赛作品,内容增长,D,4.22,5.0,3.5,4.0,SEO 数据分析有用户，但未说明解决哪类决策、对谁、交付什么。,作者未填介绍，只能确认可在线打开，无法评估主路径与集成质量。,赛道拥挤且信息缺失，看不到独特角度。,信息披露不足，产品评价只能保守处理。,19,28,是,2026-07-21
91,89,股票查询系统,参赛作品,投资理财,D,4.15,5.0,4.0,3.0,股民查询需求泛，但未说明比行情软件多解决了什么决策。,介绍仅「面向庞大股民用户提供查询」，看不到分析框架与产品闭环。,最常规的股票查询，无可见创新。,信息过少，产品定义停留在「能查」。,7,42,是,2026-07-23
92,90,明朝那些事儿,参赛作品,内容百科,D,4.10,4.0,5.0,3.0,明朝历史爱好者有浏览需求，几乎不构成数据分析或决策产品。,时间线、人物、大事记的内容陈列，缺少分析任务与决策输出。,历史百科无可见新机制。,内容站，不是本届意义上的数据应用产品。,5,56,是,2026-07-21
93,91,threejs大屏以及中国各省自治区直辖市3d地图,参赛作品,可视化demo,D,3.70,4.0,3.5,3.5,3D 地图大屏是展示件，缺少业务决策对象。,无作品介绍，无法确认数据、交互与分析闭环。,Three.js 省市区地图是常见可视化模板。,可视化素材，尚未构成产品。,0,91,是,2026-07-31
